index,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6876,0.7849,0.6876,0.6917,0.6893,0.5638,0.564
1,0.7026,0.7938,0.6932,0.7034,0.7028,0.5832,0.5833
2,0.696,0.7883,0.7142,0.6949,0.6954,0.5748,0.5748
3,0.7163,0.8032,0.7288,0.7167,0.7164,0.6033,0.6034
4,0.7069,0.796,0.7035,0.7065,0.7066,0.589,0.589
5,0.7116,0.802,0.7076,0.7121,0.7116,0.5973,0.5975
6,0.706,0.7967,0.7051,0.7057,0.7058,0.5887,0.5887
7,0.7119,0.7995,0.714,0.7109,0.7113,0.5964,0.5964
8,0.6972,0.7909,0.7045,0.696,0.6965,0.5767,0.5768
9,0.7151,0.8015,0.7263,0.7139,0.7143,0.6012,0.6013
Mean,0.7051,0.7957,0.7085,0.7052,0.705,0.5874,0.5875
SD,0.0088,0.0059,0.0123,0.0082,0.0085,0.0121,0.0121
