index,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.5246,0.7368,0.3759,0.4938,0.4942,0.3038,0.3108
1,0.5331,0.7416,0.3782,0.5012,0.5024,0.3151,0.3226
2,0.5353,0.7396,0.3695,0.4989,0.4985,0.3148,0.3245
3,0.5494,0.7406,0.3897,0.5191,0.5135,0.335,0.3458
4,0.5212,0.7311,0.3604,0.482,0.4823,0.2925,0.302
5,0.5315,0.7333,0.3724,0.4974,0.4959,0.3101,0.319
6,0.5232,0.7435,0.3584,0.4847,0.4897,0.3024,0.3093
7,0.5268,0.7363,0.3648,0.4882,0.4885,0.3024,0.3117
8,0.5283,0.7405,0.3667,0.4924,0.495,0.3076,0.3154
9,0.5362,0.7427,0.3767,0.5039,0.5022,0.3167,0.3254
Mean,0.531,0.7386,0.3713,0.4962,0.4962,0.31,0.3186
SD,0.0078,0.0039,0.0089,0.0102,0.0082,0.0109,0.0115
