index,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.7229,0.8715,0.7014,0.7258,0.6986,0.6039,0.6182
1,0.7382,0.8777,0.7006,0.7526,0.7134,0.6239,0.6401
2,0.7366,0.876,0.7205,0.7436,0.7111,0.6232,0.6385
3,0.7293,0.8747,0.7051,0.7252,0.703,0.6125,0.6262
4,0.7337,0.8737,0.698,0.7335,0.7008,0.6159,0.6335
5,0.7345,0.8801,0.7029,0.7462,0.7029,0.6192,0.6383
6,0.7407,0.8794,0.7135,0.7473,0.7176,0.6295,0.644
7,0.7319,0.8748,0.7165,0.7325,0.7036,0.6167,0.6325
8,0.7295,0.8715,0.7052,0.7308,0.7024,0.6128,0.6281
9,0.7366,0.8826,0.7178,0.7402,0.7037,0.6211,0.639
Mean,0.7334,0.8762,0.7082,0.7378,0.7057,0.6179,0.6338
SD,0.0049,0.0035,0.0077,0.009,0.0058,0.0069,0.0074
