index,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.5287,0.7123,0.4212,0.5139,0.4982,0.3228,0.3325
1,0.5455,0.718,0.4198,0.5255,0.5103,0.3426,0.3545
2,0.5383,0.7156,0.4302,0.5199,0.5007,0.329,0.3423
3,0.5386,0.7173,0.4247,0.5211,0.5059,0.334,0.3456
4,0.535,0.7091,0.4226,0.5111,0.4957,0.3274,0.3403
5,0.5362,0.7098,0.4215,0.5104,0.4977,0.3278,0.34
6,0.5415,0.712,0.4424,0.5118,0.5027,0.3371,0.3493
7,0.5374,0.7085,0.4184,0.5119,0.4996,0.3306,0.3427
8,0.5365,0.7109,0.4262,0.5117,0.4985,0.3306,0.3429
9,0.5341,0.7193,0.4196,0.5126,0.4957,0.3233,0.3363
Mean,0.5372,0.7133,0.4247,0.515,0.5005,0.3305,0.3427
SD,0.0042,0.0037,0.0068,0.005,0.0044,0.0058,0.0059
