index,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.5499,0.6973,0.3264,0.4718,0.4372,0.3083,0.3504
1,0.5455,0.6704,0.3209,0.3557,0.4292,0.2985,0.3433
2,0.5409,0.6894,0.318,0.4277,0.4263,0.292,0.3347
3,0.5447,0.7022,0.3221,0.4392,0.4331,0.2989,0.3406
4,0.5562,0.6898,0.3299,0.4485,0.442,0.3168,0.361
5,0.5533,0.6936,0.3289,0.4481,0.4413,0.3151,0.3558
6,0.5436,0.6981,0.3217,0.4129,0.4342,0.2991,0.338
7,0.5433,0.6689,0.32,0.3546,0.4277,0.295,0.3392
8,0.5465,0.6985,0.3244,0.4626,0.4415,0.3044,0.3427
9,0.5541,0.696,0.3289,0.4455,0.443,0.3151,0.3567
Mean,0.5478,0.6904,0.3241,0.4267,0.4355,0.3043,0.3462
SD,0.005,0.011,0.004,0.039,0.006,0.0085,0.0086
